name,emails,vacc,path,url,orgId
roundOne,path.1.a97344a@mailinator.com,,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_1.json,,2d006acc-8f80-4d08-bff4-3fb113695030
mRoundTwo,path.2.a86544a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_2.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna,2d006acc-8f80-4d08-bff4-3fb113695030
pRoundTwo,path.3.a98303a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_3.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer,2d006acc-8f80-4d08-bff4-3fb113695030
jjAdditional,path.4.a89447a@mailinator.com,Johnson&Johnson,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_4.json,complete-covid-rounds?round1date=01/01/2021&round1type=Johnson&Johnson,2d006acc-8f80-4d08-bff4-3fb113695030
mBooster,path.5.a42154a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_5.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
pBooster,path.6.a18571a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_6.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
jjBooster,path.7.a84495a@mailinator.com,Johnson&Johnson,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_7.json,complete-covid-rounds?round1date=01/01/2021&round1type=Johnson&Johnson,2d006acc-8f80-4d08-bff4-3fb113695030
mThird,path.8.a66258a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_8.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
pThird,path.9.a64941a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_9.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
fluOnly,path.10.a25377a@mailinator.com,Flu,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_10.json,,2d006acc-8f80-4d08-bff4-3fb113695030
fluMroundTwo,path.11.a32665a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_11.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna,2d006acc-8f80-4d08-bff4-3fb113695030
fluProundTwo,path.12.a46615a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_12.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer,2d006acc-8f80-4d08-bff4-3fb113695030
fluJJadditional,path.13.a86895a@mailinator.com,Johnson&Johnson,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_13.json,complete-covid-rounds?round1date=01/01/2021&round1type=Johnson&Johnson,2d006acc-8f80-4d08-bff4-3fb113695030
fluMbooster,path.14.a20379a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_14.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
fluPbooster,path.15.a91899a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_15.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
fluJJbooster,path.16.a49459a@mailinator.com,Johnson&Johnson,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_16.json,complete-covid-rounds?round1date=01/01/2021&round1type=Johnson&Johnson,2d006acc-8f80-4d08-bff4-3fb113695030
fluMthird,path.17.a31010a@mailinator.com,Moderna,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_17.json,complete-covid-rounds?round1date=01/01/2021&round1type=Moderna&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
fluPthird,path.18.a96669a@mailinator.com,Pfizer,/Users/alexrogers/Desktop/gatling-charts-highcharts-bundle-3.6.1/user-files/resources/computerdatabase/pgregistrationbooster/path_18.json,complete-covid-rounds?round1date=01/01/2021&round1type=Pfizer&round2date=02/01/2021,2d006acc-8f80-4d08-bff4-3fb113695030
